,Coil_Number,UTS,EL,LYS,AIM_QLTY
21130,COIL_97480021,366,39,275,T01244
21131,COIL_88720291,408,35,353,K01002
21132,COIL_88040141,313,45,243,T01283
21133,COIL_94950870,389,34,311,T01586
21134,COIL_94680111,308,46,243,TCA001
21135,COIL_95410411,586,28,512,E13001
21136,COIL_96720251,370,38,312,S33001
21137,COIL_88330411,417,34,341,T01566
21138,COIL_89150851,1089,11,770,T13178
21139,COIL_95860341,401,35,330,T01586
21140,COIL_95690131,311,46,247,T01118
21141,COIL_87790652,463,34,380,J10007
21142,COIL_92030171,364,39,300,T01063
21143,COIL_96790800,346,42,272,J06005
21144,COIL_92630430,517,28,364,I09504
21145,COIL_97270681,377,38,304,I09499
21146,COIL_97161221,437,28,351,I17140
21147,COIL_93060551,422,32,360,I09508
21148,COIL_88780162,307,46,255,T01560
21149,COIL_88950171,370,37,325,T01063
21150,COIL_95130230,308,46,252,T01560
21151,COIL_90631061,674,20,572,THS001
21152,COIL_95140221,315,45,266,T01560
21153,COIL_95300510,592,25,504,A20001
21154,COIL_96300581,580,30,508,E13001
21155,COIL_97040381,557,28,482,E13001
21156,COIL_92700610,872,10,583,T13002
21157,COIL_87730762,546,27,469,I17140
21158,COIL_97020011,372,40,287,I09499
21159,COIL_92950682,526,26,465,E13001
21160,COIL_97560760,472,33,406,TCA003
21161,COIL_96820260,384,37,318,K01002
21162,COIL_91130371,354,37,272,T01018
21163,COIL_92290531,479,38,424,T01049
21164,COIL_88320731,471,36,379,J10007
21165,COIL_95280210,312,46,267,T01560
21166,COIL_96450761,473,38,383,J10007
21167,COIL_87780261,377,42,314,THB001
21168,COIL_97720202,307,45,247,T01087
21169,COIL_90400191,310,47,263,T01378
21170,COIL_87820231,313,45,247,T01087
21171,COIL_87620551,593,22,534,THB004
21172,COIL_88100521,485,28,424,I17007
21173,COIL_94770331,389,39,307,I09499
21174,COIL_90210181,305,46,242,T01118
21175,COIL_92390161,340,41,261,T01382
21176,COIL_93330291,508,31,435,I17007
21177,COIL_92530341,477,28,396,I09502
21178,COIL_94470650,343,42,274,T01018
21179,COIL_91640372,456,31,327,I17007
21180,COIL_89500321,465,30,356,I17140
21181,COIL_97090171,382,34,304,T01002
21182,COIL_93700321,516,34,442,A20001
21183,COIL_89540131,408,45,341,T01099
21184,COIL_88290731,352,40,271,T01244
21185,COIL_97610651,483,37,413,T01049
21186,COIL_90400441,435,32,345,I17007
21187,COIL_91110681,391,30,311,T01002
21188,COIL_90450711,481,30,415,D04016
21189,COIL_90070471,430,40,333,THP001
21190,COIL_92180082,385,40,300,I11496
21191,COIL_87720161,313,44,245,T01283
21192,COIL_90900131,313,47,261,T01378
21193,COIL_90630731,400,39,347,I11496
21194,COIL_87960801,461,34,356,T01049
21195,COIL_88810471,401,36,328,T01099
21196,COIL_89020641,583,25,507,E13001
21197,COIL_87820491,523,27,463,I17007
21198,COIL_90010772,522,28,451,D06005
21199,COIL_92820021,363,36,297,THB001
21200,COIL_96420191,443,35,358,T01559
21201,COIL_95150701,351,40,247,THB005
21202,COIL_91060311,368,40,298,T01244
21203,COIL_91270821,461,36,382,J10007
21204,COIL_90720801,540,24,452,A19001
21205,COIL_92510672,567,29,509,I17140
21206,COIL_97490501,404,36,316,K01002
21207,COIL_90630881,520,33,431,T01582
21208,COIL_93680251,361,40,308,T01382
21209,COIL_97241041,436,30,348,I17140
21210,COIL_93560341,368,39,297,I09499
21211,COIL_92970681,542,28,464,I17140
21212,COIL_87680881,470,29,398,I17016
21213,COIL_90120591,453,30,391,I17020
21214,COIL_95200701,308,32,239,I11001
21215,COIL_93390531,509,27,458,I17140
21216,COIL_95900431,375,38,300,I09499
21217,COIL_94770801,345,38,282,T01050
21218,COIL_89680321,309,46,257,T01560
21219,COIL_89990701,457,29,391,I17007
21220,COIL_97100351,348,40,280,T01018
21221,COIL_94720340,341,37,252,T01018
21222,COIL_91040221,304,46,240,T01283
21223,COIL_97370371,330,41,239,I09499
21224,COIL_96951061,333,40,243,J06005
21225,COIL_96180021,353,40,271,T01018
21226,COIL_90350201,348,41,268,T01018
21227,COIL_87910502,453,37,397,I45011
21228,COIL_90160641,382,42,307,I09500
21229,COIL_93930701,480,36,424,E08000
21230,COIL_95710221,312,46,247,T01118
21231,COIL_92600502,556,25,478,T01158
21232,COIL_93390281,386,38,313,I09499
21233,COIL_93160190,364.1791,40.1058,310.7808,T01063
21234,COIL_88650891,489,38,378,J10007
21235,COIL_97810641,359,41,297,T01018
21236,COIL_96960851,442,31,306,I17140
21237,COIL_92190551,467,34,402,I45011
21238,COIL_89170861,503,28,359,I17140
21239,COIL_94440261,336,40,249,I09499
21240,COIL_94070591,473,37,419,T01049
21241,COIL_95500400,425,35,356,E07000
21242,COIL_96790470,458,29,385,I17016
21243,COIL_97310531,590,26,523,E13001
21244,COIL_92580221,313,45,250,T01283
21245,COIL_87650231,313,46,263,T01560
21246,COIL_96800541,355,38,287,T01018
21247,COIL_95580711,427,30,292,I17140
21248,COIL_95630381,387,28,314,I09499
21249,COIL_97550910,466,36,378,J10007
21250,COIL_88970141,319,46,256,T01087
21251,COIL_92150372,454,30,383,I17020
21252,COIL_89620321,351,44,262,T01560
21253,COIL_95810472,468,28,392,I17021
21254,COIL_97191220,1095,12,790,T13423
21255,COIL_89920561,473,28,359,I17140
21256,COIL_97270941,523,25,454,I17007
21257,COIL_93100821,409,35,325,T01564
21258,COIL_95040681,391,39,298,I09499
21259,COIL_97460731,472,36,420,J10004
21260,COIL_94210461,348,38,282,T01018
21261,COIL_88220142,306,45,242,TCA001
21262,COIL_94010350,410,40,339,T01099
21263,COIL_93110432,394,39,321,I11496
21264,COIL_92880491,363,40,289,I09499
21265,COIL_93740791,530,30,454,T01158
21266,COIL_95030520,399,39,291,I09499
21267,COIL_90550161,354,42,279,T01244
21268,COIL_89950531,392,39,326,K01002
21269,COIL_89010712,354,42,285,I11497
21270,COIL_89990221,304,46,242,TCA001
21271,COIL_93530171,309,46,250,T01378
21272,COIL_92750321,312,46,252,T01118
21273,COIL_88010261,306,46,244,T01560
21274,COIL_93730011,342,35,284,I09499
21275,COIL_88980171,306,47,259,T01560
21276,COIL_94840480,370,37,293,I09499
21277,COIL_93590681,467,32,389,J10007
21278,COIL_95360701,476,35,412,T01049
21279,COIL_94200791,543,27,457,I17140
21280,COIL_90710620,404,35,325,T01564
21281,COIL_92350201,400,29,327,T01002
21282,COIL_93180310,302.881,45.0793,242.4373,T01087
21283,COIL_90960641,373,42,299,THB002
21284,COIL_97230291,356,40,279,I09499
21285,COIL_89170131,305,47,259,T01378
21286,COIL_96650681,492,39,423,T01049
21287,COIL_88450341,549,28,480,A20001
21288,COIL_87850252,311,44,246,T01118
21289,COIL_89440532,394,40,319,I11496
21290,COIL_91450201,310,45,248,T01118
21291,COIL_88340521,482,32,428,T01335
21292,COIL_95310130,319,45,248,TCA001
21293,COIL_93860582,482,34,334,T01073
21294,COIL_95090211,316,46,278,T01560
21295,COIL_87980622,648,22,514,T16001
21296,COIL_90710191,320,45,269,T01378
21297,COIL_96690681,350,38,272,I09499
21298,COIL_89220312,305,46,242,T01283
21299,COIL_96830460,415,38,333,T01099
21300,COIL_88420041,341,40,263,T01018
21301,COIL_94280550,400,34,329,I11496
21302,COIL_97360621,557,25,490,I17140
21303,COIL_96360171,396,32,342,T01382
21304,COIL_95740551,347,38,271,I09499
21305,COIL_97050011,384,39,283,I09499
21306,COIL_97360791,333,40,261,I09499
21307,COIL_88710341,428,29,385,I09500
21308,COIL_91170562,385,36,322,K01002
21309,COIL_94370460,769,24,679,Q17005
21310,COIL_89071001,458,30,375,I17140
21311,COIL_90740342,360,41,289,T01018
21312,COIL_96940280,354,38,276,T01018
21313,COIL_88300701,461,37,402,T01049
21314,COIL_91410801,486,30,432,I17140
21315,COIL_96720111,311,46,249,TCA001
21316,COIL_93350200,360,42,286,T01018
21317,COIL_93930281,450,32,343,I17007
21318,COIL_88790521,420,35,355,I09500
21319,COIL_96930700,342,42,264,J06005
